,Place type,Name,Place list,Capacity,Fee,Altitude,Description,Telephone,Website,Email,Hiking association,Guard name(s),Services,Coordinates,Acces,Zones,Emplacement,Nearby routes
10,Shelter,Refugio CONANGLES,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",36 beds,Paid,1555m,?,tel:+34 619847077,?,?,?,?,[],Latitude: 42.6153 Longitude: 0.768152,[],[],[],"[""Lac Vert, Boucle par l'Est"", 'Le cirque des Crabioules', 'Le Pic de Circé', ""Le Pic de la Montagnette depuis l'Hospice de France"", 'Pic de la Sauvegarde', 'Pic de Céciré', ""Grande boucle autour de l'Hospice de France"", 'Refuge et Port de Vénasque', 'GR 211.2', 'GR 211.3', 'GR 211.5', 'Ramat de Camins. Etapa 11 : Salardú => Bossòst', 'Ramat de Camins. Etapa 12 : Bossòt => Vielha', 'Ramat de Camins. Etapa 13 : Vielha => Refugi de Conangles', 'Ramat de Camins. Etapa 14 : Refugi de Conangles => Barruera', 'Ramat de Camins. Etapa 15 : Barruera => El Pont de Suert', 'Camin reiau', 'Ruta 3 Valls. Etapa 1: El Pont de Suert => Erill la Vall', 'Ruta 3 Valls. Etapa 4: Castanesa => El Pont de Suer', 'Ruta 3 Valls. Etapa 3: Aneto => Castanesa', 'Ruta 3 Valls. Etapa 2: Erill la Vall => Aneto', ""El Carrilet d'Estany Gento""]"
11,Shelter,Cabane de Alemany,"['Shelter in France', 'Shelter in Occitanie', 'Shelter in Pyrénées-Orientales']",8 beds,Free to use,1668m,Fireplace: Yes,?,?,?,?,?,[],Latitude: 42.4568 Longitude: 2.28171,[],['Zone:Pas des Vaques'],[],"['PR-C 190 Sender de Camprodon a Ribes de Freser', 'PR-C 60 Sender de les quatre ermites', 'GR 10 - sec.2', 'Tour del Canigó']"
12,Shelter,Refugio CIRBANAL 2,"['Shelter in Spain', 'Shelter in Castile and león', 'Shelter in León']",4 beds,Free to use,1631m,?,?,?,?,?,?,[],Latitude: 42.9597 Longitude: -5.89417,[],[],[],"['Camín Real de la Mesa', 'PR-AS 12 Ruta Brañas de Saliencia', 'GR-207 Camín Real del Puertu Ventana o Ruta de las Reliquias', 'PR-AS 93 Ruta de los puertos de La Vaḷḷota', 'PR-AS 79 Vuelta al valle de La Collá', 'GR 109 - Etapa 13', 'GR 109 - Etapa 14', 'Ruta de los Calderones']"
13,Shelter,Ordelca,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",6 beds,Free to use,1699m,Also known as Aldecua refuge.,?,?,?,?,?,"['Drinking water', 'Fireplace']",Latitude: 42.7705 Longitude: -0.63187,[],['Zone:Parque Natural de los Valles Occidentales'],[],"['Chemin de Pirait asp41', ""Chemin d'Aulet asp28"", ""Cabane Laiterine par le Col d'Iseye asp32"", 'Tour de la Borde de Bouhaben asp26', 'Tour du Vallon asp11', 'Tour du Belvédère asp47', 'Cabane du Boué asp48', ""Chemin d'Esquit à Lescun asp46"", 'Plateau de Sanchèse asp50', 'Cabanes et Lac de Lhurs asp51', ""Cabanes et Lac d'Ansabe asp52"", 'Tour de Busteigts asp58', ""Liaison Etsaut - Col d'Arras asp59"", 'Panorama de Narbissat asp57', 'Tour Mâture-Arras asp62', ""Tour du Lac d'Arlet asp68"", 'Sentier des Pistes de Fond du Somport', 'Sentier du Plateau de la Gentiane PNP', ""Sentier du Lac d'Estaëns PNP"", 'Senda de Camille 9 (Oza-Gabardito por Vía Romana)', 'Sentier de Peyranère au Refuge de Larry PNP', ""Sentier d'Urdos au Refuge de Larry PNP"", 'Sentier de Borce à Belonce PNP', ""Sentier du Viaduc au Vallon d'Arnousse PNP"", 'Chemin de la Liberté par la Cuarde asp121', 'GRT 13 de Zuriza a Lescun', 'GR 11.1 Senda Pirenaica - Variante 1', ""Tour d'Ayriré par Udapet asp64"", 'Tour du Bialaa asp63', ""Lac du Montagnon par le Col d'Iseye asp33"", 'Km vertical de Bergout asp25', 'Chemin de Beloute asp118', 'Tour de Lasies asp115', 'Tour Urdos - Bérat asp66', 'Cabanes de Narbèze asp117', 'Cabane de Lhèze asp116', 'Granges de Cette asp56', 'Col de la Cuarde par Aumet asp55', 'Col de Paü asp54', 'Refuge de Linza par le Col de Pétragème asp119', 'Col de Pétragème asp53', 'Chemin de Compostelle par le Col de Paü asp120', 'Senda de Camille 8 (Oza-Gabardito por Acher)', 'Senda de Camille 7 (Linza-Oza)', 'Sommet du Poey asp122', ""Voie d'OssauB""]"
14,Shelter,Refugio COLLADO DE LIESBA,"['Shelter in Spain', 'Shelter in Cantabria', 'Shelter in Cantabria']",? beds,Paid,?,?,?,?,?,?,?,[],Latitude: 43.077 Longitude: -4.74746,[],[],[],"['PR-AS 127 Senda de Caoru', 'PR-PNPE 20 Ruta Monte Camba', 'PR-PNPE 3 Ruta del Cares', 'PR-PNPE 14 Montó (Valle de Prada)', 'PR-PNPE 16 Collado Jermoso', 'PR-LE 22 Valle del Naranco-Lechada', 'PR-LE 23 Arroyo de Orpiñas', 'PRC-LE 24 Puerto de San Glorio', 'PRC-LE 33 Matapiojos', 'Cascada del Mazobre', 'Laguna de las Lomas', 'PR-PNPE 24 Puertos de Aliva - Fuente De', 'PR-PNPE 21 Vega de Urriellu', 'PR-LE 34 Arbillos', 'PR-PNPE 23 Horcados Rojos', 'PR-PNPE 27 Brez - Canal de las Arredondas', 'PR-PNPE 15 Senda del Mercadillo', 'PR-PNPE 22 Peña Oviedo (El Cable - Mogrovejo)', 'PR-PNPE 18 Jou de los Cabrones', 'PR-PNPE 19 Canal de Camburero', 'PR-PNPE 28 Mazico de Ándara']"
15,Shelter,Refugio de Peñón Colorao,"['Shelter in Spain', 'Shelter in Andalusia', 'Shelter in Granada']",15 beds,Free to use,2840m,To access the refuge from the village of Laranjon (from Granada direction Motril on the A-44 where at exit 157 we arrive at Nigüelas or continue up to 164 to Laranjon) since the refuge can be accessed by both towns.,?,?,?,Parque Nacional de Sierra Nevada,?,['Drinking water'],Latitude: 37.0307 Longitude: -3.41378,[],['Zone:Valle de Lanjarón'],[],"['Pico Veleta desde la zona de Hoya de la Mora', 'GR240', 'Acequias del Poqueira', 'La Cebadilla', 'Trevelez-Siete Lagunas', 'Pueblos del Poqueira', 'Trevelez-Alto de Chorillo', 'GR-142 Sendero Alpujarra']"
16,Shelter,Refugio del Barranco de Taxeras,"['Shelter in Spain', 'Shelter in Aragon', 'Shelter in Huesca']",? beds,Free to use,?,?,?,?,?,?,?,[],Latitude: 42.7874 Longitude: -0.662601,[],[],[],"['Chemin de Pirait asp41', ""Cabane d'Ichéus asp43"", 'Chemin des Jaupins asp14', 'Tour de Soudious asp10', ""Plateau d'Ourdinse asp17"", ""Chemin d'Aulet asp28"", ""Cabane Laiterine par le Col d'Iseye asp32"", 'Tour de la Borde de Bouhaben asp26', 'Tour du Vallon asp11', 'Tour du Belvédère asp47', 'Cabane du Boué asp48', ""Chemin d'Esquit à Lescun asp46"", 'Plateau de Sanchèse asp50', 'Cabanes et Lac de Lhurs asp51', ""Cabanes et Lac d'Ansabe asp52"", 'Tour de Busteigts asp58', ""Liaison Etsaut - Col d'Arras asp59"", 'Panorama de Narbissat asp57', 'Tour Mâture-Arras asp62', ""Tour du Lac d'Arlet asp68"", 'Sentier des Pistes de Fond du Somport', 'Sentier du Plateau de la Gentiane PNP', ""Sentier du Lac d'Estaëns PNP"", 'Senda de Camille 9 (Oza-Gabardito por Vía Romana)', 'Sentier de Peyranère au Refuge de Larry PNP', ""Sentier d'Urdos au Refuge de Larry PNP"", 'Sentier de Borce à Belonce PNP', ""Sentier du Viaduc au Vallon d'Arnousse PNP"", 'Chemin de la Liberté par la Cuarde asp121', 'GRT 13 de Zuriza a Lescun', 'GR 11.1 Senda Pirenaica - Variante 1', 'Tour des Fontaines asp16', ""Tour d'Ayriré par Udapet asp64"", 'Tour du Bialaa asp63', ""Km vertical d'Ourdinse asp19"", ""Trail d'Ourdinse asp18"", 'Chemins du Gave asp12', 'Km vertical du Layens asp37', 'Trail du Layens par Pirait asp36', 'Tour du Bugala asp34', ""Lac du Montagnon par le Col d'Iseye asp33"", 'Km vertical de Bergout asp25', 'Trail de Bergout asp24', 'Tour des Serres asp113', 'Tour Arreugle-Massey asp112', 'Tour Ombrer-Cometas asp111', 'Tour du Rocher des Chèvres asp110', 'Tour panoramique Osse-Athas asp109', 'Chemin de Beloute asp118', 'Tour de Lasies asp115', 'Tour Urdos - Bérat asp66', 'Cabanes de Narbèze asp117', 'Cabane de Lhèze asp116', 'Granges de Cette asp56', 'Col de la Cuarde par Aumet asp55', 'Col de Paü asp54', 'Refuge de Linza par le Col de Pétragème asp119', 'Col de Pétragème asp53', 'Chemin de Compostelle par le Col de Paü asp120', 'Senda de Camille 8 (Oza-Gabardito por Acher)', 'Senda de Camille 7 (Linza-Oza)', 'Sommet du Poey asp122', ""Voie d'OssauB""]"
17,Shelter,Orri de la Casteille,"['Shelter in France', 'Shelter in Occitanie', 'Shelter in Pyrénées-Orientales']",5 beds,Free to use,1987m,"Description: One of the most beautiful Pyrenees is the orrys because of its rounded shapes and the beauty of its vault. They are of stone construction and of emergency usi, since it does not have door nor of imobiliario. ",?,?,?,?,?,['Drinking water'],Latitude: 42.5349 Longitude: 2.44005,[],['Zone:Ravin du Roc dels Isards'],[],"['GR 10 - sec.2', 'Tour del Canigó']"
18,Campsite,Amaido,"['Campsite in Spain', 'Campsite in Asturias', 'Campsite in Asturias']",? beds,Paid,?,?,?,?,?,?,?,['Internet'],Latitude: 43.4129 Longitude: -7.14248,[],[],[],"['Senda Verde de San Martín de Oscos', 'Ruta de los Molinos', 'Senda Costera Tapia de Casariego - Figueras', ""PR-AS 19 Ruta de la Sierra d'Eiroa"", 'PR-AS 21 Ruta de sol y sombra', 'Ruta do río de Ouro', 'PR-AS 116 Ruta da Seimeira', 'Rota da Fraga da Becerreira', 'Ruta de la Mina de As Talladas', 'Ruta del silencio', 'Ruta da Fraga Vella', 'Ruta del Agua', 'Ruta del Ouroso']"
19,Shelter,Refugio El Moral,"['Shelter in Spain', 'Shelter in Cantabria', 'Shelter in Cantabria']",8 beds,Free to use,1219m,"From Santander take the A-67 (Cantabria-Meseta Highway) towards Torrelavega where we connect to the A-8 (Cantábrico Highway) towards Zurita where at exit 228 we return to the A-67 to exit 159 at Las Fraguas, further down from Los Corrales de Buelma.",?,?,?,?,?,[],Latitude: 43.1624 Longitude: -4.16285,[],['Zone:El Moral'],[],"['Ruta de los puentes', 'PR-S 32 Ruta de Vallejo Rucandano', 'Paseo Verde desde Puente Viesgo a El Soto', 'Ruta del Hayacorva']"
20,Campsite,Los Gallardos,"['Campsite in Spain', 'Campsite in Andalusia', 'Campsite in Almería']",? beds,Paid,?,?,tel:+34 950 528 324,http://campinglosgallardos.com/,mailto:reception@campinglosgallardos.com,?,?,['Internet'],Latitude: 37.1845 Longitude: -1.92402,[],[],[],[]
21,Campsite,camping Los Galayos,"['Campsite in Spain', 'Campsite in Castile and león', 'Campsite in Ávila']",? beds,Paid,?,?,?,?,?,?,?,[],Latitude: 40.2237 Longitude: -5.15263,[],[],[],"['Senda del puerto de la Cabrilla', 'El Berrocal - Arroyo Higuera', 'PR-TO 13 Ruta de las Aves', '[PR-AV-35] Senda de las Cinco Lagunas']"
22,Shelter,Refugio Borda Gavatxó,"['Shelter in Spain', 'Shelter in Catalonia', 'Shelter in Lleida']",15 beds,Free to use,1800m,"To reach the refuge, you have to access the Principality of Andorra through the CG-1, passing through Sant Juliá de Lária passat and in Aixovall take the CS-110 that leads directly to the town of Os de Civis.",?,?,?,?,?,[],Latitude: 42.5103 Longitude: 1.41958,[],['Zone:Pla de la Cabana'],[],"['GRT 1: La ruta de les 3 nacions', ""GRP d'Andorra: La volta a tot un país"", 'El Riu Pollós', ""Anyós - l'Aldosa: El Camí del Solà"", 'Bony de les Neres', 'Camí de Fontaneda fins a la Collada de la Gallina', 'Camí de Francolí', 'Camí del Gall', 'Camí de Juberri a la Rabassa', 'Camí de la Senyoreta', 'Estany de Querol i Salamandres', 'Camí de les Pardines', 'Camí de Manyat', ""Camí de Percanela - Les Fonts - Pla de l'Estany"", 'Camí de Rocafort', 'Camí del Cardemeller - Font del Bisbe', 'Camí del Coll de les Cases', 'Camí del Jou - Roc de la Cauba', 'Camí del Toll Bullidor', 'Camí Interparroquial de Prats a Engolasters', 'Canya de la Rabassa - Pla de Sorteny', 'Canya de la Rabassa - Pla de Sorteny - Planell del Quer', 'Circuit de les Fonts - Itinerari llarg', 'Collada de la Maiana', ""Collada de Muntaner - Pic d'Enclar"", 'El Cubil Petit', 'El Siscaró - Estany de Baix', ""Els Cortals d'Encamp, refugi i estany d'Ensagents"", ""Itinerari de l'Estany Blau"", 'Estany de Juclà', 'Estany de la Nou', 'Estanys de Tristaina', ""Estanys de l'Angonella"", 'Refugi i Estanys de Montmalús', 'Estanys i Refugi de Cabana Sorda', 'Estanys i Refugi de la Vall del Riu', 'Fonts del Campeà', 'Itinerari del Fontverd', 'Itinerari de la Vall del Madriu', 'Itinerari de Perafita', ""Itinerari d'Entremesaigües"", ""Itinerari per la Vall d'Enclar - Prats del Paquetaire"", ""L'Alt del Griu"", 'Llac de Pessons', ""Llac d'Engolasters"", 'Pic de Casamanya', ""Camí de l'alt de Comapedrosa (Parc natural del Comapedrosa)"", 'Pic de la Font Blanca', 'Pic de la Serrera', 'Portella Blanca', 'Prat primer per Palomera', 'Refugi i Cap dels Agols', 'Ruta del Ferro', 'Ruta Verdaguer - Estany de Creussans', 'Tomb de Llorts a Sedornet', 'Tomb de Puntal - Rialb - La Rabassa', 'Tomb del Turer', 'Rec del Solà', 'GR 10A', ""Camí de l'Ossa"", 'Le chemin des Orris', 'PR-C 61', 'PR-C 62', 'PR-C 63', 'PR-C 68', 'GR T 58 Tavascan - Coll de Tavascan', 'GR 11.10', ""Camí de l'Últim Càtar"", 'HRP Variante 30-31.1', 'Ramat de Camins. Etapa 4 : Rialp => Tírvia', 'Ramat de Camins. Etapa 5 : Tírvia => Àreu', 'Ramat de Camins. Etapa 6 : Àreu => Riera de Cardós', 'Ramat de Camins. Etapa 7 : Ribera de Cardós => Escaló', 'Ramat de Camins. Etapa 8 : Escaló => Llac de SantMaurici => Espot', 'Pic de Ribuls', 'Senderisme: Alta Ruta Pirenaica', 'Ruta de senderisme: Coronallacs', 'Camí saludable dels drets humans', 'Circular a la parròquia de Canillo', ""Les Pardines fins l'estany de l'Illa, passant pel refugi i la Collada dels Agols"", 'Estany Esbalçat', 'Pic del Port Vell', ""Estany de Montmantell i Pic del Pla de l'Estany"", 'La Margineda-Pic Bony de la Pica-Sispony-la Margineda', 'Tomb de Prat Primer', 'Tomb Lauredià (Itinerari mitjà)', 'Tomb Lauredià(Itinerari llarg)', ""Itinerari de l'Obaga"", 'Itinerari Coll Jovell', 'De Prats al santuari de Meritxell']"
23,Campsite,Campamento xuvenil 'Espiñeira' (Boiro),"['Campsite in Spain', 'Campsite in Galicia', 'Campsite in A Coruña']",100 beds,Paid,?,?,tel:+34 981845260,http://xuventude.xunta.es/component/k2/item/11200-campamento-xuvenil-espineira-boiro,?,?,?,"['Food and beverages', 'WC']",Latitude: 42.6582 Longitude: -8.88453,[],[],[],['Ruta do Umia']
